                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9450  25.2940  0.21342E+01  0.22182E+01  0.55308E-04  0.22051E+01  0.21482E+01  0.55427E-04  0.21341E+01
   10.5890   2.9450  25.3040  0.21279E+01  0.22114E+01  0.54757E-04  0.21983E+01  0.21414E+01  0.54874E-04  0.21274E+01
   10.5890   2.9450  25.3140  0.21216E+01  0.22045E+01  0.54211E-04  0.21915E+01  0.21347E+01  0.54327E-04  0.21208E+01
   10.5890   2.9450  25.3240  0.21153E+01  0.21977E+01  0.53671E-04  0.21847E+01  0.21281E+01  0.53785E-04  0.21141E+01
   10.5890   2.9450  25.3340  0.21091E+01  0.21915E+01  0.53135E-04  0.21786E+01  0.21220E+01  0.53248E-04  0.21082E+01
   10.5890   2.9450  25.3440  0.21028E+01  0.21847E+01  0.52604E-04  0.21719E+01  0.21154E+01  0.52716E-04  0.21016E+01
   10.5890   2.9450  25.3540  0.20966E+01  0.21780E+01  0.52079E-04  0.21652E+01  0.21088E+01  0.52189E-04  0.20951E+01
   10.5890   2.9450  25.3640  0.20904E+01  0.21713E+01  0.51555E-04  0.21586E+01  0.21023E+01  0.51661E-04  0.20886E+01
   10.5890   2.9450  25.3740  0.20842E+01  0.21645E+01  0.51043E-04  0.21519E+01  0.20957E+01  0.51150E-04  0.20820E+01
   10.5890   2.9450  25.3840  0.20780E+01  0.21577E+01  0.50531E-04  0.21452E+01  0.20891E+01  0.50637E-04  0.20755E+01
   10.5890   2.9450  25.3940  0.20718E+01  0.21506E+01  0.50025E-04  0.21381E+01  0.20821E+01  0.50130E-04  0.20686E+01
   10.5890   2.9450  25.4040  0.20657E+01  0.21439E+01  0.49524E-04  0.21315E+01  0.20756E+01  0.49627E-04  0.20621E+01
   10.5890   2.9450  25.4140  0.20595E+01  0.21373E+01  0.49027E-04  0.21249E+01  0.20691E+01  0.49129E-04  0.20557E+01
   10.5890   2.9450  25.4240  0.20534E+01  0.21307E+01  0.48535E-04  0.21183E+01  0.20626E+01  0.48636E-04  0.20493E+01
   10.5890   2.9450  25.4340  0.20473E+01  0.21241E+01  0.48048E-04  0.21118E+01  0.20562E+01  0.48147E-04  0.20429E+01
   10.5890   2.9450  25.4440  0.20412E+01  0.21175E+01  0.47565E-04  0.21053E+01  0.20497E+01  0.47663E-04  0.20366E+01
   10.5890   2.9450  25.4540  0.20352E+01  0.21110E+01  0.47086E-04  0.20988E+01  0.20434E+01  0.47184E-04  0.20302E+01
   10.5890   2.9450  25.4640  0.20291E+01  0.21044E+01  0.46613E-04  0.20923E+01  0.20370E+01  0.46709E-04  0.20239E+01
   10.5890   2.9450  25.4740  0.20231E+01  0.20979E+01  0.46143E-04  0.20859E+01  0.20306E+01  0.46238E-04  0.20176E+01
   10.5890   2.9450  25.4840  0.20170E+01  0.20915E+01  0.45679E-04  0.20795E+01  0.20243E+01  0.45772E-04  0.20113E+01
   10.5890   2.9450  25.4940  0.20110E+01  0.20850E+01  0.45218E-04  0.20730E+01  0.20180E+01  0.45311E-04  0.20051E+01
   10.5890   2.9450  25.5040  0.20050E+01  0.20785E+01  0.44762E-04  0.20666E+01  0.20117E+01  0.44853E-04  0.19988E+01
   10.5890   2.9450  25.5140  0.19991E+01  0.20721E+01  0.44310E-04  0.20602E+01  0.20054E+01  0.44401E-04  0.19926E+01
   10.5890   2.9450  25.5240  0.19931E+01  0.20657E+01  0.43863E-04  0.20539E+01  0.19991E+01  0.43952E-04  0.19864E+01
   10.5890   2.9450  25.5340  0.19872E+01  0.20593E+01  0.43420E-04  0.20475E+01  0.19928E+01  0.43508E-04  0.19802E+01
   10.5890   2.9450  25.5440  0.19812E+01  0.20529E+01  0.42981E-04  0.20412E+01  0.19866E+01  0.43068E-04  0.19740E+01
   10.5890   2.9450  25.5540  0.19753E+01  0.20464E+01  0.42546E-04  0.20347E+01  0.19802E+01  0.42631E-04  0.19677E+01
   10.5890   2.9450  25.5640  0.19694E+01  0.20400E+01  0.42115E-04  0.20284E+01  0.19740E+01  0.42200E-04  0.19615E+01
   10.5890   2.9450  25.5740  0.19635E+01  0.20337E+01  0.41689E-04  0.20221E+01  0.19678E+01  0.41772E-04  0.19554E+01
   10.5890   2.9450  25.5840  0.19576E+01  0.20273E+01  0.41266E-04  0.20159E+01  0.19616E+01  0.41349E-04  0.19493E+01
   10.5890   2.9450  25.5940  0.19518E+01  0.20210E+01  0.40848E-04  0.20096E+01  0.19555E+01  0.40929E-04  0.19432E+01
   10.5890   2.9450  25.6040  0.19459E+01  0.20147E+01  0.40433E-04  0.20033E+01  0.19493E+01  0.40514E-04  0.19370E+01
   10.5890   2.9450  25.6140  0.19401E+01  0.20084E+01  0.40023E-04  0.19971E+01  0.19432E+01  0.40102E-04  0.19310E+01
   10.5890   2.9450  25.6240  0.19343E+01  0.20022E+01  0.39616E-04  0.19909E+01  0.19371E+01  0.39695E-04  0.19249E+01
   10.5890   2.9450  25.6340  0.19285E+01  0.19959E+01  0.39213E-04  0.19847E+01  0.19309E+01  0.39291E-04  0.19188E+01
   10.5890   2.9450  25.6440  0.19227E+01  0.19897E+01  0.38815E-04  0.19785E+01  0.19249E+01  0.38891E-04  0.19129E+01
   10.5890   2.9450  25.6540  0.19170E+01  0.19842E+01  0.38420E-04  0.19731E+01  0.19196E+01  0.38495E-04  0.19076E+01
   10.5890   2.9450  25.6640  0.19112E+01  0.19781E+01  0.38028E-04  0.19670E+01  0.19136E+01  0.38103E-04  0.19016E+01
   10.5890   2.9450  25.6740  0.19055E+01  0.19719E+01  0.37641E-04  0.19609E+01  0.19075E+01  0.37715E-04  0.18957E+01
   10.5890   2.9450  25.6840  0.18997E+01  0.19658E+01  0.37257E-04  0.19548E+01  0.19015E+01  0.37330E-04  0.18897E+01
   10.5890   2.9450  25.6940  0.18940E+01  0.19596E+01  0.36877E-04  0.19487E+01  0.18956E+01  0.36949E-04  0.18838E+01
   10.5890   2.9450  25.7040  0.18883E+01  0.19535E+01  0.36501E-04  0.19427E+01  0.18896E+01  0.36572E-04  0.18779E+01
   10.5890   2.9450  25.7140  0.18827E+01  0.19475E+01  0.36128E-04  0.19366E+01  0.18837E+01  0.36198E-04  0.18720E+01
   10.5890   2.9450  25.7240  0.18770E+01  0.19414E+01  0.35759E-04  0.19306E+01  0.18777E+01  0.35828E-04  0.18661E+01
   10.5890   2.9450  25.7340  0.18714E+01  0.19353E+01  0.35393E-04  0.19246E+01  0.18718E+01  0.35461E-04  0.18603E+01
   10.5890   2.9450  25.7440  0.18657E+01  0.19293E+01  0.35031E-04  0.19186E+01  0.18659E+01  0.35098E-04  0.18544E+01
   10.5890   2.9450  25.7540  0.18601E+01  0.19232E+01  0.34672E-04  0.19126E+01  0.18600E+01  0.34739E-04  0.18486E+01
   10.5890   2.9450  25.7640  0.18545E+01  0.19172E+01  0.34317E-04  0.19066E+01  0.18541E+01  0.34383E-04  0.18427E+01
   10.5890   2.9450  25.7740  0.18489E+01  0.19112E+01  0.33967E-04  0.19006E+01  0.18483E+01  0.34032E-04  0.18369E+01
   10.5890   2.9450  25.7840  0.18433E+01  0.19052E+01  0.33618E-04  0.18947E+01  0.18424E+01  0.33682E-04  0.18311E+01
   10.5890   2.9450  25.7940  0.18378E+01  0.18992E+01  0.33273E-04  0.18888E+01  0.18366E+01  0.33336E-04  0.18254E+01
   10.5890   2.9450  25.8040  0.18322E+01  0.18933E+01  0.32931E-04  0.18829E+01  0.18308E+01  0.32994E-04  0.18196E+01
   10.5890   2.9450  25.8140  0.18267E+01  0.18874E+01  0.32593E-04  0.18770E+01  0.18250E+01  0.32655E-04  0.18139E+01
   10.5890   2.9450  25.8240  0.18212E+01  0.18815E+01  0.32258E-04  0.18712E+01  0.18193E+01  0.32319E-04  0.18082E+01
   10.5890   2.9450  25.8340  0.18157E+01  0.18756E+01  0.31926E-04  0.18653E+01  0.18135E+01  0.31986E-04  0.18025E+01
   10.5890   2.9450  25.8440  0.18102E+01  0.18697E+01  0.31598E-04  0.18595E+01  0.18078E+01  0.31657E-04  0.17968E+01
   10.5890   2.9450  25.8540  0.18047E+01  0.18638E+01  0.31272E-04  0.18536E+01  0.18020E+01  0.31331E-04  0.17911E+01
   10.5890   2.9450  25.8640  0.17992E+01  0.18579E+01  0.30950E-04  0.18478E+01  0.17963E+01  0.31008E-04  0.17854E+01
   10.5890   2.9450  25.8740  0.17938E+01  0.18510E+01  0.30631E-04  0.18409E+01  0.17895E+01  0.30688E-04  0.17787E+01
